;;;;;;;;;;;;;;;;;;;;;;;
Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Date incorporation;Mode acquisition;Marque;Modele;Propriétaire;Immatriculation;Date miseenservice;Num serie;;;;;;;;;;;
GT LOGISTICS.01;CEA;404247;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL =<2.5T;01/03/2009;Achat neuf;FENWICK;E16;GT LOGISTICS.01;;01/03/2009;H2X386Z02060;;;;;;;;;;;
GT LOGISTICS.01;CEA;404248;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 2.5T<>=5T;01/03/2009;Achat neuf;FENWICK;H50D;GT LOGISTICS.01;;01/03/2009;H2X394Z00681;;;;;;;;;;;
GT LOGISTICS.01;CEA;405152;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;01/03/2012;Achat neuf;FENWICK;E10;GT LOCATION;;01/03/2012;F2X334C00036;;;;;;;;;;;
GT LOGISTICS.01;CEA;484576;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;01/05/2010;Achat occasion;FENWICK;E10;GT LOGISTICS.01;;01/05/2010;F2X334L00017;;;;;;;;;;;
GT LOGISTICS.01;CEA;484577;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL =<2.5T;01/05/2010;Achat occasion;FENWICK;E25;GT LOGISTICS.01;;01/05/2010;G1X336R01231;;;;;;;;;;;
GT LOGISTICS.01;EUTHANASIE VOLAILLES;400141;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;07/04/2003;Achat neuf;BT;S12;GT LOGISTICS.01;;07/04/2003;575964;;;;;;;;;;;
GT LOGISTICS.01;EUTHANASIE VOLAILLES;400245;GTX ENGIN BTP;CHARIOT TELESCOPIQUE;01/06/2005;Achat neuf;MANITOU;MTS23;GT LOGISTICS;;01/06/2005;204439;;;;;;;;;;;
GT LOGISTICS.01;EUTHANASIE VOLAILLES;406818;GTX ENGIN BTP;CHARIOT TELESCOPIQUE;17/10/2016;Achat neuf;MANITOU;TMT 2525;GT LOGISTICS.01;;17/10/2016;972757;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;404956;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;13/05/2011;Achat neuf;HYSTER;H16.0;GT LOGISTICS.01;;13/05/2011;G019E02596H;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405246;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;;04/04/2013;R005B02340L;Attente confirmation sortie;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405247;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;;04/04/2013;R005B02341L;Attente confirmation sortie;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405248;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;;04/04/2013;R005B02262K;Attente confirmation sortie;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405249;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;;04/04/2013;R005B02328L;Attente confirmation sortie;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405250;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;;04/04/2013;R005B02329L;Attente confirmation sortie;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405252;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;;04/04/2013;R005B02342L;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405450;GTX ENGIN TRACTION;TERBERG;26/07/2016;Achat occasion;TERBERG;YT182;GT LOGISTICS.01;;01/07/2005;XLWYT182X52655465;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405519;GTX ENGIN DIVERS;BALAYEUSE;15/10/2013;Achat neuf;TENNANT;S12;GT LOGISTICS.01;;02/10/2013;5210002076;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405818;GTX ENGIN DIVERS;LAVEUSE ;01/07/2014;Achat neuf;TENNANT;T7;GT LOGISTICS.01;;24/03/2014;T755708047;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;406781;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;28/07/2016;Achat neuf;HYSTER;H14XM-6;GT LOGISTICS.01;;01/07/2016;K019E01610P;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;407897;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 6T;20/02/2018;Achat neuf;HYSTER;H6.0;;;42736;L006E01643R;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;407926;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 5T<>=9T;14/06/2018;Achat neuf;FENWICK;E50HL-1/600;GT LOGISTICS.01;;01/01/2018;H2X388J00635;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;407927;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 5T<>=9T;14/06/2018;Achat neuf;FENWICK;E50HL-1/600;GT LOGISTICS.01;;01/01/2018;H2X388J00628;;;;;;;;;;;
