Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Date incorporation;Mode acquisition;Marque;Modele;Immatriculation;Date miseenservice;Num serie;Date sortie;Commentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.02;PSA Sochaux;497644;GTX CHARIOT FRONTAL; ;30/10/2017;Prêt;FENWICK;E40;APROLIS FINANCE;01/01/2003;5247;06/06/2018;Mise à jour convention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.02;PSA Sochaux;497645;GTX CHARIOT FRONTAL; ;30/10/2017;Prêt;FENWICK;E40;APROLIS FINANCE;01/01/2013;5244;06/06/2018;Mise à jour convention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.02;PSA Sochaux;497646;GTX CHARIOT FRONTAL; ;30/10/2017;Prêt;CATERPILLAR;EP40;APROLIS FINANCE;01/01/2017;6286;06/06/2018;Mise à jour convention;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;600060;GTX ENGIN DIVERS;CAROTTEUSE;01/06/2005;Achat neuf;NBM;TM-1200;GT LOGISTICS;01/06/2005;CV20KW15;13/06/2018;vu AL 13/06/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;600061;GTX ENGIN DIVERS;ETUVE;01/06/2005;Achat neuf;BINDER;ED 400;GT LOGISTICS.01;01/06/2005;SN#05-79503;13/06/2018;vu AL 13/06/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;600062;GTX ENGIN DIVERS;ETUVE;01/06/2005;Achat neuf;BINDER;ED 400;GT LOGISTICS.01;01/06/2005;SN#05-79511;13/06/2018;vu AL 13/06/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;496121;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 2.5T<>=5T;18/12/2014;Location longue durée;FENWICK;H50D;;30/11/2014;H2X394E02903;15/01/2018;Rachat LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;496122;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 2.5T<>=5T;18/12/2014;Location longue durée;FENWICK;H50D;;30/11/2014;H2X394E02833;15/01/2018;Rachat LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;496123;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 2.5T<>=5T;18/12/2014;Location longue durée;FENWICK;H50D;;30/11/2014;H2X394E02879;15/01/2018;Rachat LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;400251;GTX ENGIN DIVERS;BALAYEUSE;01/06/2005;Achat neuf;NILKFISK;TWIN TEC;GT LOGISTICS;01/06/2005;0503272;15/01/2018;Sortie MAJ parc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
