DESIGNATION;ADRESSAGE;STOCK;CATEGORIE;FOURNISSEUR
  ARMOIRES NEUVES;;0;Mobilier SB;
 TABLE 750X750 NEUVES;;6;Mobilier SB;APLIFIL
 TABLE NEUVES 1100X75;;8;Mobilier SB;APLIFIL
TABLE 750X1100 OCCASION;;6;Mobilier SB;
 ETAGERES NEUVES POUR ARMOIRE NEUVE ;;1;Mobilier SB;
ETAGERE APLIFIL NEUVES;;26;Mobilier SB;
TABLE INOX 1100 X40;;2;Mobilier SB;
ETAGERE METRO ;;1;Mobilier SB;
TABLE 750X1100 OCCASION SANS RENFORT CENTRAL;;2;Mobilier SB;ISOMECA
TABLE750X1100 OCCASION AVEC RENFORT CENTRAL+PORTE DOC;;2;Mobilier SB;ISOMECA
TABLE 750X750 ETAGERE FIXE;;1;Mobilier SB;ISOMECA
 TABLE 750X750 SANS RENFORT;;1;Mobilier SB;
TABLE 120X70 PLEINE INOX;;1;Mobilier SB;
 TABLE 110X75 AVEC RENFORT MILIEU BAS ;;1;Mobilier SB;ADS
 TABLE 70X70 PLEINE AVEC 3 PLATEAU;;1;Mobilier SB;ADS
 TABLE 110X40 SANS RENFORT;;3;Mobilier SB;
 TABLE 110X40 AVEC RENFORT ;;1;Mobilier SB;
ARMOIR INOX VITRE MULTI ETAGERES;;1;Mobilier SB;OTTOOFFICE
 ETAGERE ACIER BLANC 60 SAS + 2 SUPPORT;;5;Mobilier SB;MAXIBUREAU
 ETAGERE ACIER BLANC 80 SAS + 2 SUPPORT;;5;Mobilier SB;
 TABLE 2PLATEAU FIXE 105X92;;1;Mobilier SB;
 PORTE BLOUSE 27 CINTRE;;17;Mobilier SB;
 PUPITRES INOX A METTRE EN VALO M26;;2;Mobilier SB;
 ETAGERE INOX ARMOIR INOX;;15;Mobilier SB;
 STATION INFO GRIS CLAIR 6;;6;Mobilier SB;
 STATION OCCASION INFO 90X50;;1;Mobilier SB;
 STATION OCCASION INFO 70 X50;;1;Mobilier SB;
APLIFIL INOX 51X190;;1;Mobilier SB;
APLIFILINOX 61X36X190;;1;Mobilier SB;
APLIFIL INOX 106X30X187;;1;Mobilier SB;
APLIFIL 99X36X187;;1;Mobilier SB;
PORTE FOUP;;8;Mobilier SB;ISOMECA
ARMOIRE MAINTENANCE ;;2;Mobilier SB;ISOMECA
127X40X165 APLIFIL INOX;;1;Mobilier SB;
APLIFIL 82X60X191;;1;Mobilier SB;
TABLE MELAMINEE POUR TRANSFERT PLATEAU INOX 110X75;;3;Mobilier SB;
PROTECTION ANGLE INOX;;1;Mobilier SB;
 ETAGERES INOX FIXATION MURAL INOX;;3;Mobilier SB;
SUPPORT POUR MARBRE EN INOX;;1;Mobilier SB;ISOMECA
TABLE 75X40 ;;2;Mobilier SB;ISOMECA
POUCE POUCE;;1;Mobilier SB;ISOMECA
MARCHE PIED;;1;Mobilier SB;ISOMECA
APLIFL NON MONTER;;16;Mobilier SB;
RATELIER;;1;Mobilier SB;
TABLE INOX 75X40 SANS RENFORT;;1;Mobilier SB;
TABLE 75X75 INOX RENFORT + PORTE DOC;;1;Mobilier SB;
TABLE 75X75INOX SANS RENFORT;;1;Mobilier SB;
TABLE INOX 75X75 AVEC PLATEAU FIXE ;;1;Mobilier SB;
TABLE INOX 75X40 NEUVE;;1;Mobilier SB;ISOMECA
TABLE 75X40 SANS RENFORT AVEC PORTE DIC;;1;Mobilier SB;ISOMECA
TABLE 110X40 SANS RENFORT + ETAGERE;;3;Mobilier SB;ISOMECA
ARMOIRE PEINTE VITRE;;4;Mobilier SB;
ARMOIRE VITRE INOX  NEUVE;;1;Mobilier SB;
ARMOIRE VITRE INOX SANS PORTE OCCASION;;1;Mobilier SB;
ETAGERES NACELLE;;1;Mobilier SB;
APLIFIL + PLAQUE ARRIERE A DEMONTER;;1;Mobilier SB;
APLIFIL INOX 80X60X192;;1;Mobilier SB;
TABLE INOX 75X40;;3;Mobilier SB;
TABLE INOX 75X75;;1;Mobilier SB;
TABLE INOX 200X75X85 PLEINE;;1;Mobilier SB;
ARMOIRE NETOYAGE PAILLASSE GANT LUNETTES 50X20X200;;2;Mobilier SB;
ARMOIRE NETOYAGE PAILLASSE GANT LUNETTES 50X30X200;;1;Mobilier SB;isomeca neuf
CARTON SUPPORT APLIFIL metro;;1;Mobilier SB;isomeca neuf
CARTON VRAC PIECE VRAC;;1;Mobilier SB;
CJAISE KANGO ;;11;Mobilier SB;
ERGOTRON;;5;Mobilier SB;
APLIFIL 64X48.5X192;;1;Mobilier SB;
PIED MARBRE;;1;Mobilier SB;
MARBRE 4X60X120;;1;Mobilier SB;
MARBRE 80X70X7.5;;1;Mobilier SB;
MARBRE 120X80X5;;1;Mobilier SB;
TABLE 110X75 EN MAUVAISE ETAT;;2;Mobilier SB;
ERGOTRON MURAL INCOMPLET;;1;Mobilier SB;
