A4A;Intitulé;Adresse;Nombre d'UC;Famille produit;Zone;Equipementier;R+H1:I9505ef équipementier;Machine;fournisseur;Ref Fournisseur;Stock minimum;Stock alerte;No lot;Date d'entrée
AIX_001;TOP RING J-LINER SiC HOT SH, R200 ;BAT 41X01F1;2;pieces detachees;Depot;AIXTRON;100201141;AIXTRON;AIXTRON;100201141;1;0;05/02/2018;  /  /    
AIX_002;MIDDLE SECTION J-LINER, SiC, HOT SH, R200 ;BAT 41X02E1;2;pieces detachees;Depot;AIXTRON;100201142;AIXTRON;AIXTRON;100201142;1;0;05/02/2018;  /  /    
AIX_003;BOTTOM RING J-LINER, SiC, HOT SH, R200 ;BAT 41X01F1;1;pieces detachees;Depot;AIXTRON;100201143;AIXTRON;AIXTRON;100201143;1;0;05/02/2018;  /  /    
AIX_004OLD;ROTATING GATE VALVE, HOT SH, R200 ;BAT 26B01B7;3;pieces detachees;Depot;AIXTRON;100201144;AIXTRON;AIXTRON;100201144;1;0;21/11/2017;  /  /    
AIX_006;Gloves Pair 300 mm Butyl ;BAT BAT 41X01E1;2;pieces detachees;Depot;AIXTRON;100001887;AIXTRON;AIXTRON;100001887;0;0;09/10/2018;  /  /    
AIX_007;"THERMOCOUPLE Type C"" 1/16 dia x 38"" lo """;BAT BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100091539;AIXTRON;AIXTRON;100091539;1;0;24/04/2018;  /  /    
AIX_007OLD;"THERMOCOUPLE Type C"" 1/16 dia x 38"" lo """;BAT BAT 26B04B5;2;pieces detachees;Depot;AIXTRON;100091539;AIXTRON;AIXTRON;100091539;0;0;03/01/2018;  /  /    
AIX_008;SHEATH THERMOCOUPLE, L=787 mm ;BAT 41X01E1;8;pieces detachees;Depot;AIXTRON;100188140;AIXTRON;AIXTRON;100188140;0;0;05/03/2018;  /  /    
AIX_009;INTERNAL SNAP RINGS ;BAT 41X01E1;6;pieces detachees;Depot;AIXTRON;100105869;AIXTRON;AIXTRON;100105869;0;0;30/01/2018;  /  /    
AIX_010;LIFT PIN SLEEVE RETAINER ;BAT 41X01E1;5;pieces detachees;Depot;AIXTRON;100162962;AIXTRON;AIXTRON;100162962;0;0;17/07/2018;  /  /    
AIX_011;TUNGSTEN LIFT PIM ;BAT 41X01E1;3;pieces detachees;Depot;AIXTRON;100116530;AIXTRON;AIXTRON;100116530;0;0;13/08/2018;  /  /    
AIX_012;Lifting pin button - sic coated ;BAT 41X01E1;15;pieces detachees;Depot;AIXTRON;100123502;AIXTRON;AIXTRON;100123502;15;15;21/11/2018;  /  /    
AIX_013;LIFT PIN BEARING BOTTOM ;BAT 41X01E1;2;pieces detachees;Depot;AIXTRON;100101547;AIXTRON;AIXTRON;100101547;0;0;17/07/2018;  /  /    
AIX_014;LIFT PIN SLEEVE BEARING ;BAT 41X01E1;8;pieces detachees;Depot;AIXTRON;100101545;AIXTRON;AIXTRON;100101545;0;0;30/01/2018;  /  /    
AIX_015;DRIVE DOG ;BAT 41X01E1;15;pieces detachees;Depot;AIXTRON;100152096;AIXTRON;AIXTRON;100152096;0;0;05/03/2018;  /  /    
AIX_016;Déposition shield 6mm,0,25mm no group V;BAT 41X02E1;1;pieces detachees;Depot;AIXTRON;100190158;CRIUS R200;AIXTRON;100190158;0;0;14/02/2018;  /  /    
AIX_017;Quartz susceptor support ;BAT 41X01F1;1;pieces detachees;Depot;AIXTRON;100135010;AIXTRON;AIXTRON;100135010;0;0;05/02/2018;  /  /    
