SIL_100_001;SILICIUM_P_MONITOR_CZ_<100>_525UM_14-20OHM;;106
SIL_100_002;SIL_N+_MONITOR_<111>_525UM_1-4MILLIOHM_TTV<12UM;;69
SIL_100_004;SILCIUM_P+_MONITOR_CZ_<100>_525UM_0,01-0,02Ohms;;124
SIL_100_005A;SIL N+<100>525µm 0.001-0.004Ohms;;130
SIL_100_007;SI P/B<100> 515 µm 10-20 Ohms DSP;;25
SIL_100_008;SI_100_SOI_340_400NM;;17
SIL_200_001;SILICIUM_P_MONITOR_CZ_<110>_725UM_6-12OHM_TTV<5UM;;46
SIL_200_002;SIL_P_MONITOR_CZ_<100>_550UM_5-20OHM_DSP_TTV<2.5UM;;126
SIL_200_003;SILIC_P_MONITOR_CZ_<100>_550UM_5-20OHM_DSP_TTV<1UM;;807
SIL_200_005;SILICIUM_P_MONITOR_CZ_<100>_725UM_1-50OHM;;2052
SIL_200_005Sas;SILICIUM_P_MONITOR_CZ_<100>_725UM_1-50OHM;;150
SIL_200_005 STOCK RIVES;SILICIUM_P_MONITOR_CZ_<100>_725UM_1-50OHM;;6700
SIL_200_006;SILICIUM_P_PRIME_CZ_<100>_725UM_5-10OHM;;1138
SIL_200_008;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE1_MINI-660UM;;92
SIL_200_008 SAS;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE1_MINI-660UM;;0
SIL_200_009;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE2_MINI-660UM;;183
SIL_200_010;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE3_MINI-630UM;;1642
SIL_200_012 STOCK RIVES;SILICIUM_RECYCLE-CONTAMINE-CU_GRADE1_MINI-660UM;;700
SIL_200_012;SILICIUM_RECYCLE-CONTAMINE-CU_GRADE1_MINI-660UM;;345
SIL_200_013;SILICIUM_RECYCLE-CONTAMINE-CU_GRADE2_MINI-660UM;;0
SIL_200_014;SILICIUM_RECYCLE-CONTAMINE-CU_GRADE3_MINI-630UM;;0
SIL_200_015;SILIC_P_MONITOR_CZ_<100>_725UM_5-20OHM_DSP_TTV<1UM;;668
SIL_200_017;SIL_P+_FR_MONITOR_CZ_<100>_725UM_0.01-0.02OHM_DSP;;1029
SIL_200_018;SILICIUM_P-_HR_PRIME_CZ_<100>_725UM_1000-99999OHM;;581
SIL_200_019;SIL_P_MONITOR_ULTRAFLAT_CZ_<100>_725UM_10000-50.000 ohm_DSP;;120
SIL_200_024;SILICIUM_N_PRIME_CZ_<100>_3-6OHM_725UM;;352
SIL_200_026;SILICIUM_P_MONITOR_CZ_<111>_725UM_6-12OHM;;396
SIL_200_029A;SILIC_N+_FR_MONITOR_CZ_<100>_725UM_<3MILLIOHM_DSP;;251
SIL_200_030A;SILICIUM_N_BSOI_CZ_<100>_25000NM-4000NM;;20
SIL_200_031;SILICIUM_P_BSOI_CZ_<100>_20000NM-2000NM;;5
SIL_200_032;SOI_MONITOR_70NM-145NM_P_<100>_725UM_8.5-11.5OHM;;82
SIL_200_033;SOI_PRIME_70NM-145NM_P_CZ_<100>_725UM_8.5-11.5OHM;;23
SIL_200_034;SOI_PRIME_340NM-2000NM_P_<100>_725UM_8.5-11.5OHM;;549
SIL_200_035A;SOI_PRIME_160NM-400NM_P-_HR_<100>_725UM_>1000OHM;;130
SIL_200_037;SOI_PRIME_205NM-400NM_P_CZ_<100>_725UM_8.5-11.5OHM;;103
SIL_200_039;SOI_PRIME_100NM-200NM_P_CZ_<100>_725UM_8.5-11.5OHM;;59
SIL_200_040;SOI_PRIM_400NM-1000NM_P_CZ_<100>_725UM_8.5-11.5OHM;;147
SIL_200_041;SOI_PRIM_400NM-2000NM_P_CZ_<100>_725UM_8.5-11.5OHM;;73
SIL_200_042 STOCK RIVES;SOI_PRIME_P_20%_145A-1450A_CZ_<100>_725UM;;23
SIL_200_043 STOCK RIVES;SOI_PRIME_P_30%_120A-1450A_CZ_<100>_725UM;;3
SIL_200_044 STOCK RIVES;SOI_PRIME_P_40%_90A-1450A_CZ_<100>_725UM;;9
SIL_200_046A;BSOI_PRIME_P_12000NM-500NM_CZ_<100>_725UM;;32
SIL_200_047A;BSOI_PRIME_P_27000NM-500NM_CZ_<100>_725UM;;51
SIL_200_050;VERRE_BOROFLOAT33_500UM_DSP_TTV<5UM_MARQUE;;151
