﻿Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Poids;Date mise en service;Mode acquisition;Marque;Modele;Fournisseur;Immatriculation;Date 1ere immatriculation;Num serie;Commentaires;Ptac;Ptr;Puissance fiscale;Genre;;;;;;
GT LOGISTICS.03;CEA GRENOBLE;306647;CAMION ET CAMIONNETTE;PORTEUR FOURGON;;09/06/2016;Achat neuf;RENAULT;;GT LOGISTICS.03;EC198QD;09/06/2016;;Flotte ASS PL;16;19,5;14;CAM;;;;;;
GT LOGISTICS.03;CEA GRENOBLE;306648;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;08/04/2016;Achat neuf;PEUGEOT;;GT LOGISTICS.03;EA751ZC;08/04/2016;;Flotte ASS PL;1,99;3,14;5;CTTE;;;;;;
GT LOGISTICS.03;CEA GRENOBLE;306649;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;12/05/2016;Achat neuf;PEUGEOT;;GT LOGISTICS.03;EC029CM;12/05/2016;;Flotte ASS PL;3;5,5;7;CTTE;;;;;;
GT LOGISTICS.03;CEA GRENOBLE;306650;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;21/11/2016;Achat occasion;PEUGEOT;;GT LOGISTICS.03;EG217WP;21/11/2016;;Flotte ASS PL;3,5;6,5;7;CTTE;;;;;;
GT LOGISTICS.01;GT Santé;307245;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;21/06/2017;Achat neuf;PEUGEOT;;GT LOGISTICS.01;EN533LB;21/06/2017;;Flotte ASS PL;1,96;2,91;5;CTTE;;;;;;
GT LOGISTICS.01;GT Santé;307614;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;15/12/2017;Achat neuf;PEUGEOT;;GT LOGISTICS.01;ES095TD;15/12/2017;;Flotte ASS PL;1,96;2,91;5;CTTE;;;;;;
GT LOGISTICS.01;CEA Saclay;307934;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;28/09/2018;Achat neuf;PEUGEOT;Partner;;FA249HJ;12/09/2018;;Flotte VéH. Sce;1,96;2,91;5;CTTE;;;;;;
GT LOGISTICS.01;CEA Saclay;307935;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;28/09/2018;Achat neuf;PEUGEOT;Partner;;FA265HJ;12/09/2018;;Flotte VéH. Sce;1,96;2,91;5;CTTE;;;;;;
GT LOGISTICS.03;CEA GRENOBLE;396652;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;14/04/2016;Achat neuf;PEUGEOT;;CREDIPAR;EB013HQ;14/04/2016;;Flotte ASS PL;2,25;;6;CTTE;;;;;;
GT LOGISTICS.03;CEA GRENOBLE;396653;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;14/04/2016;Achat neuf;PEUGEOT;;GT LOGISTICS.03;EB971HP;14/04/2016;;Flotte ASS PL;2,25;;6;CTTE;;;;;;
GT LOGISTICS.03;EINEA;407799;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;12/03/2018;Achat neuf;TOYOTA;LWE180;;;01/01/2018;6566220;;;;;;;;;;;
GT LOGISTICS.03;EINEA;407800;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;12/03/2018;Achat neuf;TOYOTA;LWE180;;;01/01/2018;6566221;;;;;;;;;;;
GT LOGISTICS.03;EINEA;407801;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;12/03/2018;Achat neuf;TOYOTA;LWE180;;;01/01/2018;6566222;;;;;;;;;;;
GT LOGISTICS.03;EINEA;407802;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;12/03/2018;Achat neuf;TOYOTA;LWE180;;;01/01/2018;6565852;;;;;;;;;;;
GT LOGISTICS.04;RTA Dunkerque;407897;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;23/04/2018;Achat occasion;CATERPILLAR;DP25N;CAPM;;01/01/2008;ET18C53369;;;;;;;;;;;
GT LOGISTICS.06;CONTINENTAL TOULOUSE;487664;ENGIN MAGASINAGE;CHARIOT RETRACTABLE;;01/06/2016;Achat occasion;BT;RRE160;;;01/01/2014;6201448;;;;;;;;;;;
GT LOGISTICS.06;CONTINENTAL TOULOUSE;487665;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;01/06/2016;Achat occasion;BT;SWE080L;;;01/01/2014;6209804;;;;;;;;;;;
GT LOGISTICS.06;CONTINENTAL TOULOUSE;487666;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;01/06/2016;Achat occasion;BT;SWE080L;;;01/01/2014;6209613;;;;;;;;;;;
GT LOGISTICS.06;CONTINENTAL TOULOUSE;487667;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;;01/06/2016;Achat occasion;BT;SWE120;;;01/01/2014;6517153;;;;;;;;;;;
GT LOGISTICS.06;CONTINENTAL TOULOUSE;487668;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;;01/06/2016;Achat occasion;BT;SWE120;;;01/01/2014;6517879;;;;;;;;;;;
GT LOGISTICS.04;RTA Dunkerque;487693;CHARIOT FRONTAL;CHARIOT ELEVATEUR 5T<à<=9T;;01/01/2017;Achat occasion;YALE;GDP50VX;VIVIER;;01/01/2017;f813b01538d;;;;;;;;;;;
GT LOGISTICS.03;EINEA;487721;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;01/08/2017;Achat occasion;FENWICK;T18;;;01/01/2004;a renseigner;;;;;;;;;;;
GT LOGISTICS.03;EINEA;487722;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;01/08/2017;Achat occasion;JUNGHEINRICH;A RENSEIGNER;;;01/01/2004;82127634;;;;;;;;;;;
GT LOGISTICS.03;EINEA;487723;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;;01/08/2017;Achat occasion;JUNGHEINRICH;EJC14;;;01/01/2004;90029597;;;;;;;;;;;
GT LOGISTICS.03;EINEA;487724;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;01/08/2017;Achat occasion;CROW;WP2320;;;01/01/2004;5A331803;;;;;;;;;;;
GT LOGISTICS.03;EINEA;487725;ENGIN MAGASINAGE;PREPARATEUR DE COMMANDE;;01/08/2017;Achat occasion;FENWICK;V08-02;;;01/01/2004;a renseigner;;;;;;;;;;;
GT LOGISTICS.03;EINEA;487726;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;01/08/2017;Achat occasion;CROW;WP2320;;;01/01/2004;5A331804;;;;;;;;;;;
GT LOGISTICS.03;EINEA;487727;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;01/08/2017;Achat occasion;JUNGHEINRICH;ELE20;;;01/01/2004;90018757;;;;;;;;;;;
GT LOGISTICS.03;EINEA;487728;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;01/08/2017;Achat occasion;FENWICK;T18;;;01/01/2004;WAX360RO7935;;;;;;;;;;;
GT LOGISTICS.03;EINEA;487729;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;01/08/2017;Achat occasion;JUNGHEINRICH;ELE20;;;01/01/2004;82294629;;;;;;;;;;;
GT LOGISTICS.03;EINEA;487730;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;01/08/2017;Achat occasion;JUNGHEINRICH;EJE118;;;01/01/2004;90278750;;;;;;;;;;;
