machine,Équipement Eyelit,Commentaire Patrice,
?,A DETERMINER,,
A DETERMINER,A DETERMINER,,
AAA - COMMUN,A DETERMINER,,
AAA - NON DÉFINIE,A DETERMINER,,
AAA-COMMUN,A DETERMINER,,
ABS 200A,?,,
AC CT200A,AC_CT200A,,
AC EVA451A,AC_EVA451,,
AC_EVA451,AC_EVA451,,
AC_EVA760_,AC_EVA760_A,,
ACS 300A,ACS300A,,
ACTENIUM,ACTEMIUM1,,
AD 100A,?,,
AET1,AET1,,
AFM X3D1,?,,
AIXTRON CRIUS,AIXTRON_CRIUS1,,
AIXTRON Crius 1,AIXTRON_CRIUS1,,
AIXTRON_CRIUS1,AIXTRON_CRIUS1,,
ALARM,ALARM2,,
ALCATEL,?,,
ALLEGRO1,ALLEGRO1,,
ALTA CVD 300,ALTA_CVD300A,,
ALTA CVD1,?,N'existe plus,PHOTO PIECES ASSOCIEES
ALTACVD 200B,ALTA_CVD200B,"A été vendue, aucune pièce ne devrait être en stock pour cet équipement",PHOTO PIECES ASSOCIEES
ALTACVD 300A ,ALTA_CVD300A,,
ALTACVD300,ALTA_CVD300A,,
AMAT,?,Liste des pièces à voir. Possible que toutes ces pièces soient communes aux équipements de la marque Applied Materials,
AMAT (TOUTES),?,Liste des pièces à voir. Possible que toutes ces pièces soient communes aux équipements de la marque Applied Materials,
AMAT(TOUTES),?,Liste des pièces à voir. Possible que toutes ces pièces soient communes aux équipements de la marque Applied Materials,
ANCOLYSER 1,ANCOLYSER1,,
ARCHER100,ARCHER_100A ; ARCHER_100A_LTDEQT,,
ARCHER600,ARCHER_600A ; ARCHER_600A_LTDEQT,,
ASM 100A,ASM100A,,
ASM EPSILONE1A,EPSILON3200A,Epsilon 3200A,
ASM300,ASM300A,,
ASML_NXT1,ASML_NXT1,,
AXIOSPECT 300A,AXIOSPECT_300A,,
CANON5510IZ1,CANON5510IZ1,,
CB8A ,CB8A,,
Cent 300 LTM1,?,"N'existe plus, a voir combien de pièces sont liées à cet équipement pour statuer",PHOTO PIECES ASSOCIEES
CENT 300 LTM2,CENT300_LTM2,,
CENT 300A,CENT300A,,
CENT 5200 (TOUS MODÈLES),CENT5200A ; CENT5200B ; CENT5200C ; CENT5200D ; CENT5200E ; CENT5200G,,
CENT 5200A,CENT5200A,,
CENT 5200B,CENT5200B,,
CENT 5200C,CENT5200C,,
CENT 5200D,CENT5200D,,
CENT 5200E,CENT5200E,,
CENT 5200G,CENT5200G,,
CENT AP1,CENTAP,,
CENT300 LTM1,?,,
CENT300 LTM2,CENT300_LTM2,,
CENT300LTM2,CENT300_LTM2,,
CENT5200B,CENT5200B,,
CENT520B,CENT5200B,,
CENTURA 300 LTM2,CENT300_LTM2,,
CHILLERS,?,,
CHIMIE,?,,
CHIMIE 41,?,,
CLN 200,CLN200A,,
CMB1,CMB1,,
COMMUN,A DETERMINER,,
COMMUN SPAT,A DETERMINER,,
COMPLUS4T,COMPLUS_4T,,
CONTRADE (TOUS MODEL ) ,CONTRADE_1 ; CONTRADE_2,,
CONTRADE (TOUS MODÈLES) ,CONTRADE_1 ; CONTRADE_2,,
Contrade tous,CONTRADE_1 ; CONTRADE_2,,
CRD(TOUS MOD),?,,
CVS1,CVS1,,
D8FABLINE1,D8_FABLINE1,,
DÃ©pots 41,?,,
DISCO1,DISCO1,,
DISCO5,DISCO5,,
DNS RF3,DNSRF3,,
DNS RF3A,DNSRF3,,
DNS SU 3100,DNS_SU3100A ; DNS_SU3100B,,
DNS SU3100,DNS_SU3100A ; DNS_SU3100B,,
DSM8A,DSM8A,,
E500A,E500A,,
EBARA,EBARA,,
EBARA1,EBARA_BEVEL1,,
END 300A,END300A,,
END 300B,END300B,,
END 5500 (TOUS MODÈLES),END5500A ; END5500B ; END5500C ; END5500D,,
END 5500 D,END5500D,,
END 5500(TOUTE),END5500A ; END5500B ; END5500C ; END5500D,,
END 5500A,END5500A,,
END 5500B,END5500B,,
END 5500C,END5500C,,
END 5500D,END5500D,,
END300,END300A ; END300B,,
END300A,END300A,,
END300B,END300B,,
END5500,END5500A ; END5500B ; END5500C ; END5500D,,
END5500(toute),END5500A ; END5500B ; END5500C ; END5500D,,
ENDURA (TOUTE),END5500A ; END5500B ; END5500C ; END5500D ; END300A ; END300B,,
endura 300,END300A ; END300B,,
endura 300 pvd chamber,END300A ; END300B,,
Endura 300B,END300B,,
ENDURA 5500 D,END5500D,,
EPSILON 3200A,EPSILON3200A,,
EPSILON3200A,EPSILON3200A,,
ETUVE 101,ETUVE_101,,
