CODE ARTICLE CEA;INTITULÉ;ADRESSE;NOMBRE D'UC;FAMILLE PRODUIT;FOURNISSEUR;REF FOURNISSEUR;STOCK MINIMUM;STOCK ALERTE; PRIX UNITAIRE ;DATE D'ENTRÉE; PRIX DU STOCK FINAL ;ALERTE MINI;ALERTE  PREVISION
MOB_SB;  ARMOIRES NEUVES;STOCK RIVES;5;MOBILIER SB;;;;; -   € ;; -   € ; ; 
MOB_SB; TABLE NEUVE 750X750 ;STOCK RIVES;6;MOBILIER SB;APLIFIL;;;; -   € ;; -   € ; ; 
MOB_SB; TABLE NEUVE 110X75;STOCK RIVES;8;MOBILIER SB;APLIFIL;;;; -   € ;; -   € ; ; 
MOB_SB;TABLE OCCASION 750X1100 ;STOCK RIVES;6;MOBILIER SB;;;;; -   € ;; -   € ; ; 
MOB_SB; ETAGERE NEUVE POUR ARMOIRE NEUVE ;STOCK RIVES;1;MOBILIER SB;;;;; -   € ;; -   € ; ; 
MOB_SB;ETAGERE APLIFIL NEUVE;STOCK RIVES;19;MOBILIER SB;;;;; -   € ;; -   € ; ; 
MOB_SB;TABLE INOX 110 X40;STOCK RIVES;2;MOBILIER SB;;;;; -   € ;; -   € ; ; 
MOB_SB;ETAGERE METRO ;STOCK RIVES;1;MOBILIER SB;;;;; -   € ;; -   € ; ; 
MOB_SB;TABLE OCCASION 750X1100 SANS RENFORT CENTRAL;STOCK RIVES;1;MOBILIER SB;ISOMECA;;;; -   € ;; -   € ; ; 
MOB_SB;TABLE OCCASION 750X1100 AVEC RENFORT CENTRAL+PORTE DOC;STOCK RIVES;2;MOBILIER SB;ISOMECA;;;; -   € ;; -   € ; ; 
MOB_SB;TABLE 750X750 ETAGERE FIXE;STOCK RIVES;0;MOBILIER SB;ISOMECA;;;; -   € ;; -   € ; ; 
MOB_SB; TABLE 750X750 SANS RENFORT;STOCK RIVES;1;MOBILIER SB;;;;; -   € ;; -   € ; ; 
MOB_SB;TABLE 120X70 PLEINE INOX;STOCK RIVES;1;MOBILIER SB;;;;; -   € ;; -   € ; ; 
