CODE ARTICLE CEA;REGULATOR PARTS AVEC 2 VIS;ADRESSE;QTY FINAL
EMT_B18;BOUCHON P¨LASTIQUE BLANC SENDER;BAT 41A02C2;3
ELEC_V78;PARTIE PLASTIQUE POUR ACCOUPLEMENT;BAT 41F03B3;1
EMC_B69;ELEMENT TIGE TEFLON SERIE 2;BAT 41F03C1;1
EMC_B74;DISQUE TEFLON BLANC;BAT 41F03C1;2
EMC_E70;SUPPORT TEFLON BLANC;BAT 41F03D1;1
LIT_C44;NUT, THUMB, WAFER ROLLER;BAT 41F03D2;2
EMC_X24;SUPPORT METALLIQUE;BAT 41F03E1;1
LIT_C734;BRAS ROLLER ;BAT 41F03E1;1
AMP_F38;CAPOT PLASTIQUE (KIT ONTRAK);BAT 41F03F1;20
AMP_V07;CARTE ELECTRONIQUE/PIA;BAT 41F03F2;10
AMP_V11;ALIM 48 VOLTS;BAT 41F03F2;2
AMP_K06;CARTE ELECTRONIQUE CONTROLEUR ELECTROCRAFT;BAT 41F03F3;6
AMP_K18;KIT  DC MTR W/TACH HRNSS (MOTEUR AVEC CABLE);BAT 41F03F4;1
DEP_O92;ALIMENTATION +5VD/+12VDC/-12VDC;BAT 41F04A1;4
EMC_X61;CARTE ÉLECTRONIQUE ANALOGIQUE ;BAT 41F04B1;42
EMC_X62;VANNE 3 VOIES FLUOROWARE 203-3414-215 ;BAT 41F04B3;7
EVA_013;CAPTEUR INDUCTIF MEUBLE DISTRIBUTION SCRUB ;BAT 41F04B4;5
EVA_014;RACCORD COUDÉ VÉRIN ;BAT 41F04B4;7
EVA_016;KIT SENDER;BAT 41F04B4;1
EVA_020;DSS INTERFACE;BAT 41F04B4;3
EVA_021;ROULEMENT BROSSE SCRUBBER ;BAT 41F04B4;2
EVA_022;O RING SCRUBBER ;BAT 41F04B4;4
EVA_032;ALIMENTATION 24VDC;BAT 41F04B4;1
LIT_A25;CARTE ELECTRONIQUE PC BD, QUAD MICRO STPR, SE;BAT 41F04B4;2
VAN_F36;VIS BUTÉE MICROMÉTRIQUE;BAT 41F04B4;1
ELEC_V76;CARTE PNEUMOVANNES;BAT 41F04C1;2
COU_042;SILICONE O-RING-135 ;BAT 41F04C2;3
COU_043;SILICONE O-RING 109 ;BAT 41F04C2;4
COU_046;SILICONE O-RING 134 ;BAT 41F04C2;2
DET_031;SILICONE O-RING 148 ;BAT 41F04C2;1
EMT_184;SILICONE O-RING 155 ;BAT 41F04C2;3
EMT_264;ASSY LAMP SOCKET ;BAT 41F04C2;1
JNT_273;SCREW SHOULDER POLISHED ;BAT 41F04C2;2
JNT_277;ASSY SHAFT BEARING ;BAT 41F04C2;3
JNT_283;BUSHING DELRIN ;BAT 41F04C2;19
JNT_284;SHAFT BRUSH FRONT ;BAT 41F04C2;25
JNT_290;SCREW 8-32X38 SHCS NYLON ;BAT 41F04C2;8
JNT_327;ROLLER WAFER TIRE TREAD ;BAT 41F04C2;10
MEC_003;END CAP ROLLER ;BAT 41F04C2;1
MEC_064;PHOTOELECTRIC SWITCH FIBER OPTIC 2M ;BAT 41F04C2;2
MOT_020;BRG DEL. GLASS BALLS SHIELD ;BAT 41F04C2;1
ROU_019;ROLLER HOUSING ;BAT 41F04C2;2
DEP_J79;ACTUATOR CYLINDER ;BAT 41F04C3;1
CLD_015;MICROSWITCH INPUT STATION- 4SE1 ;BAT 41F04D1;2
CLD_F10;CARTE QUAD MICRO STEPPER ;BAT 41F04D1;1
CLD_F11;CARTE PIA ;BAT 41F04D1;2
CLD_F13;BUMPER NEST V-GROOVE ;BAT 41F04D1;1
CLD_F14;DÉTECTEUR POSITION VÉRIN PNEU ;BAT 41F04D1;2
ELEC_F58;LIP SEALS FOR CLAMP UNCLAMP STATION ;BAT 41F04D2;10
ELEC_F59;LIP SEALS ;BAT 41F04D2;5
ELEC_F60;PIN CHUCK ;BAT 41F04D2;10
