ADRESSE;FAMILLE PRODUIT;DATE;PROJET;DEMANDEUR;DATE FIN DE PROJET;LOT;SORTIE;COMMENTAIRE;JOURS DE PEREMPTION
STOCK_EXTERNE_A1;SIL_EXTERNE;;MAGESTE;PERISCO;31/03/2016;AD521P + AD503P + AD524P  ;;;30
STOCK_EXTERNE_A1;SIL_EXTERNE;;SIAM;Aurélie THUAIRE;30/09/2016;D16C0021A;;;-153
STOCK_EXTERNE_A1;SIL_EXTERNE;;;BONNEVIAL;31/12/2016;Q527163;;;-245
STOCK_EXTERNE_A1;SIL_EXTERNE;;D2NT GAA-MULTICANAUX ;DARANLOT;31/12/2016;T14S0110.8 / T15S0338;;;-245
STOCK_EXTERNE_A1;SIL_EXTERNE;08/11/2018;;NAVARRO;;T15S0465;;;42490
STOCK_EXTERNE_A1;SIL_EXTERNE;08/11/2018;;NAVARRO;;T15S0766;;;42490
STOCK_EXTERNE_A1;SIL_EXTERNE;;FONCTM3D;ALLOUTI;31/12/2016;T16S0250;;;-245
STOCK_EXTERNE_A1;SIL_EXTERNE;;FONCTM3D;ALLOUTI;31/12/2016;T16S0324;;;-245
STOCK_EXTERNE_A1;SIL_EXTERNE;;;DEPRAT;31/12/2016;Q534119;;;-245
STOCK_EXTERNE_A1;SIL_EXTERNE;08/11/2018;;NAVARRO;;Q628123;;;42490
STOCK_EXTERNE_A2;SIL_EXTERNE;;PANACHE;CARABASSE;01/01/2018;AC661P;;;-611
STOCK_EXTERNE_A2;SIL_EXTERNE;;PANACHE;CARABASSE;01/01/2018;AC731P;;;-611
STOCK_EXTERNE_A2;SIL_EXTERNE;;PANACHE;CARABASSE;01/01/2018;AC733P;;;-611
STOCK_EXTERNE_A2;SIL_EXTERNE;;;BANA;31/12/2016;FOSB 5;;;-245
STOCK_EXTERNE_A2;SIL_EXTERNE;;;BANA;31/12/2016;FOSB A;;;-245
STOCK_EXTERNE_A2;SIL_EXTERNE;;;BATUDE;31/12/2016;Q432201;;;-245
STOCK_EXTERNE_A2;SIL_EXTERNE;;;GARCIA BARROS;31/12/2016;Q510003;;;-245
STOCK_EXTERNE_A2;SIL_EXTERNE;;PLACES2BE;FENOUILLET;30/11/2015;T14S0315;;;152
STOCK_EXTERNE_A2;SIL_EXTERNE;;ARKEMA TASK FORCE ONE;BOUNANI;30/11/2019;T15S0977;;;-1309
STOCK_EXTERNE_A2;SIL_EXTERNE;;ARKEMA;DELACHAT;30/11/2019;T16S0472;;;-1309
STOCK_EXTERNE_A2;SIL_EXTERNE;;;BANA;31/12/2016;FOSB 4 ;;;-245
STOCK_EXTERNE_A3;SIL_EXTERNE;;PANACHE;PERSICO;01/01/2018;AB388P;;;-611
STOCK_EXTERNE_A3;SIL_EXTERNE;;PCRAM;PERISCO;31/12/2015;AB953P;;;121
STOCK_EXTERNE_A3;SIL_EXTERNE;;;BANA;;FOSB 2;;;0
STOCK_EXTERNE_A3;SIL_EXTERNE;;;lozat;;J542VYF;;;0
STOCK_EXTERNE_A3;SIL_EXTERNE;;;BERNASCONI;31/12/2017;Q410134-Q13;;;-610
STOCK_EXTERNE_A3;SIL_EXTERNE;;;LU;31/12/2017;Q507112Q04 / T16S0263;;;-610
STOCK_EXTERNE_A3;SIL_EXTERNE;;DTSIFONCTM3D;ALLOUTI;31/12/2015;T16S0330;;;121
STOCK_EXTERNE_A3;SIL_EXTERNE;;DTSIfONCTM3D;ALLOUTI;31/12/2015;T16S0937;;;121
STOCK_EXTERNE_A3;SIL_EXTERNE;;LETI 3S;RENAUD;31/12/2015;T17S0086;;;121
STOCK_EXTERNE_A3;SIL_EXTERNE;;IRT3D LIFT;BRESSON;31/12/2027;T17S0467;;;-4262
STOCK_EXTERNE_A3;SIL_EXTERNE;;IRT3D LIFT;BRESSON;31/12/2027;T17S0469;;;-4262
STOCK_EXTERNE_A4;SIL_EXTERNE;;PCRAM;PERISCO;31/12/2015;AB543P;;;121
STOCK_EXTERNE_A4;SIL_EXTERNE;;PANACHE;CARABASSE;01/01/2018;AC265B;;;-611
STOCK_EXTERNE_A4;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;AD222P;;;-611
STOCK_EXTERNE_A4;SIL_EXTERNE;;;DAVAL SEGAUD FASOLA;00/01/1900;FOSB 2 COKE EN STOCK;;;42490
STOCK_EXTERNE_A4;SIL_EXTERNE;;;DAVAL;31/12/2017;Q608150 / T16S0341;;;-610
STOCK_EXTERNE_A4;SIL_EXTERNE;;;BRESSON;00/01/1900;Q729118;;;42490
STOCK_EXTERNE_A4;SIL_EXTERNE;;COOL CUBE;BRUNET ;31/12/2017;T15S0975A;;;-610
STOCK_EXTERNE_A4;SIL_EXTERNE;;DTSI SSURF ETUDE;PERROT;31/12/2015;T16S0360;;;121
