CODE ARTICLE CEA;INTITULÉ;ADRESSE;NOMBRE D'UC;FAMILLE PRODUIT;FOURNISSEUR;REF FOURNISSEUR;STOCK MINIMUM;STOCK ALERTE;N° DE LOT; PRIX UNITAIRE ;DATE D'ENTRÉE; PRIX DU STOCK FINAL ;ALERTE MINI;ALERTE  PREVISION;PEREMPTIONS
SIL_100_001;SILICIUM_P_MONITOR_CZ_<100>_525UM_14-20OHM;B1_SIL;2;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_100_002;SIL_N+_MONITOR_<111>_525UM_1-4MILLIOHM_TTV<12UM;B1_SIL;63;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_100_004;SILCIUM_P+_MONITOR_CZ_<100>_525UM_0,01-0,02OHMS;B1_SIL;96;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_100_005A;SIL N+<100>525µM 0.001-0.004OHMS;B1_SIL;130;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_100_007;SI P/B<100> 515 µM 10-20 OHMS DSP;B1_SIL;25;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_100_008;SI_100_SOI_340_400NM;B1_SIL;17;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_001;SILICIUM_P_MONITOR_CZ_<110>_725UM_6-12OHM_TTV<5UM;B2_SIL;46;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_002;SIL_P_MONITOR_CZ_<100>_550UM_5-20OHM_DSP_TTV<2.5UM;B2_SIL;125;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_003;SILIC_P_MONITOR_CZ_<100>_550UM_5-20OHM_DSP_TTV<1UM;B3_SIL;713;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_005;SILICIUM_P_MONITOR_CZ_<100>_725UM_1-50OHM;L1_SIL;1274;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_005;STOCK EN SAS SILICIUM_P_MONITOR_CZ_<100>_725UM_1-50OHM;SAS_SIL;1274;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_005;STOCK RIVE SILICIUM_P_MONITOR_CZ_<100>_725UM_1-50OHM;RIVE_SIL;1274;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_006;SILICIUM_P_PRIME_CZ_<100>_725UM_5-10OHM;B4_SIL;661;SILICIUM;;;;;; -   € ;; -   € ; ; ;
